source_file,Model,mean_final_mse,std_final_mse,n_runs
1.csv,LightGBM,4.812796313919529,0.0,5
1.csv,BRATD,4.904617440714662,0.004861106261914741,5
1.csv,SGBT,4.934256636531147,0.06744994395861326,5
1.csv,RF,4.937205997363177,0.024245897788514204,5
1.csv,XGBoost,4.9474663734436035,0.0,5
1.csv,Boulevard,4.979590568991092,0.01945350428185663,5
1.csv,GBT,5.077852362782676,0.0013202126801394696,5
1.csv,BRATP,5.331654668012692,0.39889218873169124,5
1.csv,ElasticNet,5.531208515167236,0.0,5
10.csv,SGBT,0.20662189494233604,0.012434106611850996,5
10.csv,XGBoost,0.2330806851387024,0.0,5
10.csv,LightGBM,0.2461250516529355,0.0,5
10.csv,GBT,0.2579824580011783,0.006020814186631555,5
10.csv,BRATD,0.3140547507663481,0.0031357695180359102,5
10.csv,Boulevard,0.33126248024102783,0.02714290957069831,5
10.csv,RF,0.348049825,0.007382052990086001,5
10.csv,ElasticNet,0.3897594213485718,0.0,5
10.csv,BRATP,0.6253495285822471,0.7584445392699991,5
183.csv,XGBoost,0.0170418862253427,0.0,5
183.csv,GBT,0.017160443577342498,0.0002871142625397234,5
183.csv,SGBT,0.01720666154962126,0.00014259587159338034,5
183.csv,LightGBM,0.0174088829058267,0.0,5
183.csv,RF,0.017793377678620402,8.529786044859317e-05,5
183.csv,Boulevard,0.01780470504992334,3.1448798236018274e-05,5
183.csv,BRATP,0.01783630146784648,0.0005528202430354756,5
183.csv,BRATD,0.018011934881941638,0.00012748820617416458,5
183.csv,ElasticNet,0.0489359498023986,0.0,5
186.csv,XGBoost,0.3457988500595093,0.0,5
186.csv,SGBT,0.3657104375881409,0.006483423104683195,5
186.csv,Boulevard,0.3692420119371474,0.0012866530006331715,5
186.csv,RF,0.37175010940716763,0.0016191053026818432,5
186.csv,BRATD,0.3735864461333317,0.0014917863525171706,5
186.csv,LightGBM,0.3801640978534584,0.0,5
186.csv,BRATP,0.38614301098026044,0.017713065613937273,5
186.csv,GBT,0.39249106086009616,0.0019273064812409977,5
186.csv,ElasticNet,0.7389206886291504,0.0,5
320.csv,LightGBM,7.5376074413223915,0.0,5
320.csv,GBT,7.692336859318661,0.008605774412614457,5
320.csv,ElasticNet,7.750666618347168,0.0,5
320.csv,Boulevard,7.882201000019212,0.10015067156369963,5
320.csv,SGBT,7.892227599035641,0.19064326490669867,5
320.csv,XGBoost,7.946315288543701,0.0,5
320.csv,BRATD,7.980243237393748,0.03158331495452975,5
320.csv,BRATP,8.019508834053484,0.30439097069023124,5
320.csv,RF,8.063091472149702,0.0972778391835351,5
360.csv,GBT,0.00197208062636894,5.6242857640794084e-05,5
360.csv,SGBT,0.0022008937647639603,6.438375563573043e-05,5
360.csv,Boulevard,0.00959125580641754,0.00019146668404977093,5
360.csv,BRATD,0.00975745592239454,0.0004783862078688581,5
360.csv,RF,0.01031743481675038,0.00020159264830490922,5
360.csv,BRATP,0.01323718225032256,0.0017884106049532683,5
360.csv,LightGBM,0.0497736837014951,0.0,5
360.csv,XGBoost,0.0594982169568538,0.0,5
360.csv,ElasticNet,1.7123368978500366,0.0,5
544.csv,GBT,0.20177089018936653,0.011896540668857482,5
544.csv,SGBT,0.2329632319320778,0.01803173365483344,5
544.csv,XGBoost,0.23321866989135737,0.0,5
544.csv,LightGBM,0.2530964641082551,0.0,5
544.csv,BRATP,0.28175294347398855,0.018958469517528064,5
544.csv,Boulevard,0.2915775592357531,0.0026824718730094808,5
544.csv,RF,0.3052483877445192,0.00393705891102963,5
544.csv,BRATD,0.3080445962122055,0.006464521274021209,5
544.csv,ElasticNet,2.7219815254211426,0.0,5
890.csv,BRATP,0.07671222485009294,0.0006004445675199725,5
890.csv,RF,0.07736971149431691,0.00025001786343521157,5
890.csv,BRATD,0.07749421977066612,0.00023783497092879952,5
890.csv,Boulevard,0.07754587893701118,0.00023116663206996336,5
890.csv,SGBT,0.07766898525987273,0.0001265377739907169,5
890.csv,LightGBM,0.0781017646158694,0.0,5
890.csv,GBT,0.0797113703184228,3.9275746309153805e-05,5
890.csv,XGBoost,0.0815032720565795,0.0,5
890.csv,ElasticNet,0.1803841739892959,0.0,5
925.csv,Boulevard,0.047515630696265757,0.00030567428360441553,5
925.csv,BRATD,0.04751670239603868,0.0003384332102783117,5
925.csv,LightGBM,0.0475720194046201,0.0,5
925.csv,RF,0.04838347702633738,0.0007303771877348968,5
925.csv,GBT,0.04840525019493184,0.0004343942146477841,5
925.csv,XGBoost,0.0485191121697425,0.0,5
925.csv,SGBT,0.0497085311832829,0.001587968393897843,5
925.csv,BRATP,0.051294636047536014,0.002440988358882866,5
925.csv,ElasticNet,0.1080825254321098,0.0,5
